,price_day_person,location,capacity,bedroom_num,beds_num
164,20€ pers./noche (aprox),Espronceda,6 personas,3 dormitorios,5 camas
165,19€ pers./noche (aprox),Ochagavía/Otsagabia,"4 - 
  6 personas",3 dormitorios,6 camas
166,15€ pers./noche (aprox),Cildoz,"8 - 
  18 personas",4 dormitorios,16 camas
167,17€ pers./noche (aprox),Askarraga,"4 - 
  10 personas",5 dormitorios,8 camas
168,23€ pers./noche (aprox),Olite,"7 - 
  11 personas",4 dormitorios,10 camas
169,31€ pers./noche (aprox),Zubiri,Íntegro o habitaciones,"2 - 
  18 personas",8 dormitorios
170,30€ pers./noche (aprox),Izal/Itzalle,"2 - 
  6 personas",2 dormitorios,5 camas
171,19€ pers./noche (aprox),San Martín de Améscoa,"2 - 
  10 personas",4 dormitorios,9 camas
172,26€ pers./noche (aprox),Monreal/Elo,"2 - 
  10 personas",6 dormitorios,10 camas
173,18€ pers./noche (aprox),Azpilkueta,"4 - 
  18 personas",8 dormitorios,14 camas
174,17€ pers./noche (aprox),Sunbilla,6 personas,3 dormitorios,6 camas
175,13€ pers./noche (aprox),Lizaso,"10 - 
  14 personas",6 dormitorios,13 camas
176,45€ pers./noche (aprox),Lizarragabengoa,"2 - 
  2 personas",1 dormitorio,1 cama
177,26€ pers./noche (aprox),Villafranca,"8 - 
  12 personas",4 dormitorios,10 camas
178,22€ pers./noche (aprox),Sarriés/Sartze,4 personas,3 camas,22€ pers./noche (aprox)
179,17€ pers./noche (aprox),Usún,"6 - 
  12 personas",5 dormitorios,11 camas
180,23€ pers./noche (aprox),Arróniz,"1 - 
  6 personas",3 dormitorios,5 camas
181,19€ pers./noche (aprox),Iribas,"8 - 
  12 personas",5 dormitorios,11 camas
182,24€ pers./noche (aprox),Viloria,"10 - 
  18 personas",7 dormitorios,17 camas
183,31€ pers./noche (aprox),Doneztebe/Santesteban,"2 - 
  7 personas",2 dormitorios,4 camas
184,23€ pers./noche (aprox),Luzaide/Valcarlos,Íntegro o habitaciones,"2 - 
  20 personas",14 camas
185,22€ pers./noche (aprox),Ganuza,4 personas,2 dormitorios,3 camas
186,16€ pers./noche (aprox),Oronoz-Mugairi,"8 - 
  10 personas",4 dormitorios,8 camas
187,17€ pers./noche (aprox),Gastiáin,"10 - 
  20 personas",8 dormitorios,18 camas
188,29€ pers./noche (aprox),Igúzquiza,8 personas,8 camas,29€ pers./noche (aprox)
189,23€ pers./noche (aprox),Murchante,"6 - 
  6 personas",3 dormitorios,5 camas
190,29€ pers./noche (aprox),Ezcároz/Ezkaroze,"4 - 
  6 personas",3 dormitorios,3 camas
191,15€ pers./noche (aprox),Irurita,8 personas,4 dormitorios,8 camas
192,30€ pers./noche (aprox),Arizkun,11 personas,4 dormitorios,8 camas
193,20€ pers./noche (aprox),Ollo,"1 - 
  58 personas",7 dormitorios,58 camas
194,25€ pers./noche (aprox),Inbuluzketa,"6 - 
  10 personas",3 dormitorios,7 camas
195,9€ pers./noche (aprox),Sunbilla,16 personas,5 dormitorios,13 camas
196,19€ pers./noche (aprox),Arguedas,"2 - 
  16 personas",7 dormitorios,14 camas
197,25€ pers./noche (aprox),Echagüe,"8 - 
  10 personas",4 dormitorios,8 camas
198,19€ pers./noche (aprox),Urdiain,"6 - 
  18 personas",9 dormitorios,18 camas
199,24€ pers./noche (aprox),Aria,"8 - 
  10 personas",4 dormitorios,9 camas
200,21€ pers./noche (aprox),Leitza,"12 - 
  18 personas",6 dormitorios,15 camas
201,17€ pers./noche (aprox),Oderitz,14 personas,6 dormitorios,11 camas
202,21€ pers./noche (aprox),Egiarreta,"1 - 
  20 personas",7 dormitorios,16 camas
203,17€ pers./noche (aprox),Donamaria,"1 - 
  5 personas",3 dormitorios,4 camas
204,18€ pers./noche (aprox),Villanueva de Yerri/Hiriberri Deierri,"2 - 
  13 personas",12 camas,18€ pers./noche (aprox)
205,12€ pers./noche (aprox),Iltzarbe,Íntegro o habitaciones,24 personas,5 dormitorios
206,19€ pers./noche (aprox),Urbiola,9 personas,4 dormitorios,6 camas
207,16€ pers./noche (aprox),Saldias,8 personas,3 dormitorios,7 camas
208,28€ pers./noche (aprox),Lekunberri,"6 - 
  8 personas",3 dormitorios,7 camas
209,25€ pers./noche (aprox),Arraioz,"1 - 
  6 personas",2 dormitorios,4 camas
210,24€ pers./noche (aprox),Lumbier,Íntegro o habitaciones,10 personas,4 dormitorios
211,16€ pers./noche (aprox),Ochagavía/Otsagabia,"8 - 
  10 personas",4 dormitorios,8 camas
212,31€ pers./noche (aprox),Arizkun,"6 - 
  14 personas",5 dormitorios,9 camas
213,27€ pers./noche (aprox),Osinaga,"10 - 
  12 personas",5 dormitorios,10 camas
214,28€ pers./noche (aprox),Abaurregaina/Abaurrea Alta,"1 - 
  14 personas",6 dormitorios,13 camas
215,20€ pers./noche (aprox),Irurita,"4 - 
  8 personas",3 dormitorios,7 camas
216,19€ pers./noche (aprox),Ituren,11 personas,5 dormitorios,8 camas
217,25€ pers./noche (aprox),Hiriberri/Villanueva de Aezkoa,"2 - 
  20 personas",11 dormitorios,14 camas
218,33€ pers./noche (aprox),Olite,5 personas,1 dormitorio,4 camas
219,25€ pers./noche (aprox),Isaba/Izaba,Íntegro o habitaciones,"2 - 
  10 personas",5 dormitorios
0,22€ pers./noche (aprox),Urricelqui,12 personas,5 dormitorios,10 camas
1,15€ pers./noche (aprox),Etxalar,8 personas,4 dormitorios,6 camas
2,11€ pers./noche (aprox),Salinas de Oro,"2 - 
  15 personas",7 dormitorios,7 camas
3,27€ pers./noche (aprox),Arantza,"1 - 
  8 personas",3 dormitorios,6 camas
4,22€ pers./noche (aprox),Moriones,"5 - 
  6 personas",3 dormitorios,5 camas
5,25€ pers./noche (aprox),Jaurrieta,"1 - 
  4 personas",2 dormitorios,4 camas
6,17€ pers./noche (aprox),Urdaitz/Urdániz,18 personas,1 dormitorio,14 camas
7,38€ pers./noche (aprox),Isaba/Izaba,"2 - 
  10 personas",5 dormitorios,12 camas
8,30€ pers./noche (aprox),Ezcároz/Ezkaroze,"4 - 
  14 personas",6 dormitorios,12 camas
9,34€ pers./noche (aprox),Ochagavía/Otsagabia,8 personas,4 dormitorios,8 camas
10,22€ pers./noche (aprox),Etxalar,"12 - 
  18 personas",8 dormitorios,14 camas
11,20€ pers./noche (aprox),Marcilla,8 personas,3 dormitorios,7 camas
12,18€ pers./noche (aprox),Iraizotz,"2 - 
  14 personas",7 dormitorios,12 camas
13,25€ pers./noche (aprox),Arguedas,"6 - 
  7 personas",3 dormitorios,4 camas
14,25€ pers./noche (aprox),Latasa,"2 - 
  6 personas",5 camas,25€ pers./noche (aprox)
15,20€ pers./noche (aprox),Etxalar,7 personas,3 dormitorios,5 camas
16,18€ pers./noche (aprox),Elgorriaga,"4 - 
  8 personas",3 dormitorios,6 camas
17,15€ pers./noche (aprox),Ochagavía/Otsagabia,"4 - 
  6 personas",3 dormitorios,6 camas
18,23€ pers./noche (aprox),Ázqueta,"2 - 
  28 personas",11 dormitorios,25 camas
19,21€ pers./noche (aprox),Murchante,12 personas,4 dormitorios,11 camas
20,24€ pers./noche (aprox),Ochagavía/Otsagabia,"2 - 
  4 personas",2 dormitorios,3 camas
21,20€ pers./noche (aprox),Viana,"4 - 
  8 personas",4 dormitorios,8 camas
22,23€ pers./noche (aprox),Ilurdotz,16 personas,13 camas,23€ pers./noche (aprox)
23,24€ pers./noche (aprox),Ilurdotz,12 personas,5 dormitorios,10 camas
24,22€ pers./noche (aprox),Arizkun,"2 - 
  12 personas",5 dormitorios,11 camas
25,23€ pers./noche (aprox),Betelu,8 personas,4 dormitorios,5 camas
26,17€ pers./noche (aprox),Bera,10 personas,5 dormitorios,8 camas
27,25€ pers./noche (aprox),Lesaka,"4 - 
  10 personas",4 dormitorios,6 camas
28,19€ pers./noche (aprox),Milagro,"2 - 
  7 personas",3 dormitorios,7 camas
29,21€ pers./noche (aprox),Igantzi,6 personas,3 dormitorios,4 camas
30,19€ pers./noche (aprox),Galbarra,"1 - 
  14 personas",6 dormitorios,9 camas
31,16€ pers./noche (aprox),Eulate,"1 - 
  11 personas",4 dormitorios,9 camas
32,22€ pers./noche (aprox),Muruzábal,"6 - 
  8 personas",3 dormitorios,7 camas
33,22€ pers./noche (aprox),Espronceda,8 personas,3 dormitorios,7 camas
34,22€ pers./noche (aprox),Oronoz-Mugairi,"11 - 
  27 personas",13 dormitorios,28 camas
35,23€ pers./noche (aprox),Eguaras,"10 - 
  22 personas",12 dormitorios,20 camas
36,26€ pers./noche (aprox),Meano,"2 - 
  11 personas",5 dormitorios,9 camas
37,30€ pers./noche (aprox),Gorriti,"8 - 
  9 personas",4 dormitorios,9 camas
38,21€ pers./noche (aprox),Lazagurría,14 personas,7 dormitorios,12 camas
39,19€ pers./noche (aprox),Ochagavía/Otsagabia,8 personas,4 dormitorios,8 camas
40,20€ pers./noche (aprox),Cabanillas,"8 - 
  24 personas",9 dormitorios,20 camas
41,19€ pers./noche (aprox),Ollobarren,"6 - 
  8 personas",4 dormitorios,6 camas
42,22€ pers./noche (aprox),Cintruénigo,"6 - 
  12 personas",6 dormitorios,10 camas
43,15€ pers./noche (aprox),Azpirotz,8 personas,4 dormitorios,7 camas
44,23€ pers./noche (aprox),Izalzu/Itzaltzu,8 personas,2 dormitorios,6 camas
45,25€ pers./noche (aprox),Arizkun,"8 - 
  20 personas",8 dormitorios,17 camas
46,26€ pers./noche (aprox),Elizondo,"4 - 
  5 personas",1 dormitorio,4 camas
47,25€ pers./noche (aprox),Carcastillo,"1 - 
  6 personas",1 dormitorio,5 camas
48,21€ pers./noche (aprox),Dorrao/Torrano,"10 - 
  12 personas",5 dormitorios,9 camas
49,18€ pers./noche (aprox),Cildoz,"8 - 
  22 personas",9 dormitorios,22 camas
50,18€ pers./noche (aprox),Etxalar,"2 - 
  6 personas",3 dormitorios,6 camas
51,18€ pers./noche (aprox),Luzaide/Valcarlos,6 personas,3 dormitorios,4 camas
52,24€ pers./noche (aprox),Ezkurra,"2 - 
  10 personas",5 dormitorios,9 camas
53,28€ pers./noche (aprox),Arguedas,Íntegro o habitaciones,"1 - 
  20 personas",7 dormitorios
54,21€ pers./noche (aprox),Baraibar,"1 - 
  6 personas",3 dormitorios,6 camas
55,55€ pers./noche (aprox),Cortes,"1 - 
  4 personas",2 dormitorios,3 camas
56,22€ pers./noche (aprox),Iturgoyen,12 personas,5 dormitorios,10 camas
57,20€ pers./noche (aprox),Mendigorría,"15 - 
  17 personas",8 dormitorios,14 camas
58,30€ pers./noche (aprox),Ochagavía/Otsagabia,"6 - 
  8 personas",6 dormitorios,7 camas
59,43€ pers./noche (aprox),Murugarren,"2 - 
  16 personas",8 dormitorios,8 camas
60,32€ pers./noche (aprox),Oronz,"2 - 
  24 personas",36 camas,32€ pers./noche (aprox)
61,21€ pers./noche (aprox),Valtierra,"4 - 
  12 personas",4 dormitorios,10 camas
62,24€ pers./noche (aprox),Anotz,"4 - 
  6 personas",3 dormitorios,5 camas
63,20€ pers./noche (aprox),Tudela,"3 - 
  12 personas",4 dormitorios,11 camas
64,16€ pers./noche (aprox),Etxalar,"2 - 
  16 personas",7 dormitorios,14 camas
65,20€ pers./noche (aprox),Amaiur/Maya,"6 - 
  8 personas",3 dormitorios,6 camas
66,17€ pers./noche (aprox),Orbaizeta,18 personas,3 dormitorios,15 camas
67,22€ pers./noche (aprox),Larrasoaña,11 personas,4 dormitorios,8 camas
68,31€ pers./noche (aprox),Ochagavía/Otsagabia,"2 - 
  4 personas",3 dormitorios,3 camas
69,22€ pers./noche (aprox),Eulate,"10 - 
  14 personas",5 dormitorios,11 camas
70,21€ pers./noche (aprox),Carcastillo,"8 - 
  10 personas",4 dormitorios,9 camas
71,20€ pers./noche (aprox),Castejón,"4 - 
  9 personas",3 dormitorios,7 camas
72,27€ pers./noche (aprox),Lekunberri,6 personas,3 dormitorios,6 camas
73,28€ pers./noche (aprox),Sada,"8 - 
  10 personas",4 dormitorios,8 camas
74,25€ pers./noche (aprox),Beruete,"14 - 
  16 personas",7 dormitorios,12 camas
75,25€ pers./noche (aprox),Arguedas,"1 - 
  6 personas",2 dormitorios,5 camas
76,21€ pers./noche (aprox),Dorrao/Torrano,"2 - 
  12 personas",5 dormitorios,11 camas
77,17€ pers./noche (aprox),Tudela,"2 - 
  10 personas",5 dormitorios,9 camas
78,25€ pers./noche (aprox),Villafranca,"1 - 
  13 personas",16 dormitorios,6 camas
79,23€ pers./noche (aprox),Ganuza,8 personas,4 dormitorios,6 camas
80,20€ pers./noche (aprox),Garísoain,"4 - 
  13 personas",11 camas,20€ pers./noche (aprox)
81,23€ pers./noche (aprox),Olite,"10 - 
  14 personas",7 dormitorios,11 camas
82,18€ pers./noche (aprox),Leitza,"2 - 
  10 personas",4 dormitorios,8 camas
83,35€ pers./noche (aprox),Ochagavía/Otsagabia,"1 - 
  2 personas",1 dormitorio,1 cama
84,30€ pers./noche (aprox),Tudela,"2 - 
  22 personas",8 dormitorios,20 camas
85,35€ pers./noche (aprox),Donamaria,"1 - 
  18 personas",8 dormitorios,12 camas
86,25€ pers./noche (aprox),Lintzoain,4 personas,2 dormitorios,3 camas
87,16€ pers./noche (aprox),Villatuerta,6 personas,3 dormitorios,4 camas
88,25€ pers./noche (aprox),Izal/Itzalle,"6 - 
  16 personas",7 dormitorios,11 camas
89,17€ pers./noche (aprox),Etxalar,"2 - 
  6 personas",3 dormitorios,4 camas
90,18€ pers./noche (aprox),Ochagavía/Otsagabia,"8 - 
  18 personas",8 dormitorios,14 camas
91,25€ pers./noche (aprox),Arróniz,8 personas,4 dormitorios,7 camas
92,32€ pers./noche (aprox),Milagro,11 personas,5 dormitorios,9 camas
93,30€ pers./noche (aprox),Hiriberri/Villanueva de Aezkoa,"2 - 
  4 personas",2 dormitorios,5 camas
94,26€ pers./noche (aprox),Azuelo,"6 - 
  8 personas",3 dormitorios,8 camas
95,13€ pers./noche (aprox),Viana,Íntegro o habitaciones,"1 - 
  46 personas",6 dormitorios
96,16€ pers./noche (aprox),Igantzi,"2 - 
  7 personas",3 dormitorios,5 camas
97,22€ pers./noche (aprox),Valtierra,9 personas,4 dormitorios,7 camas
98,24€ pers./noche (aprox),Arruitz,"2 - 
  30 personas",6 dormitorios,24 camas
99,28€ pers./noche (aprox),Ochagavía/Otsagabia,Íntegro o habitaciones,"6 - 
  8 personas",6 dormitorios
100,25€ pers./noche (aprox),Ezkurra,"12 - 
  18 personas",8 dormitorios,14 camas
101,16€ pers./noche (aprox),Etxalar,8 personas,4 dormitorios,7 camas
102,27€ pers./noche (aprox),Erratzu,18 personas,11 dormitorios,12 camas
103,18€ pers./noche (aprox),Lizaso,"1 - 
  4 personas",2 dormitorios,2 camas
104,25€ pers./noche (aprox),Salinas de Oro,10 personas,9 camas,25€ pers./noche (aprox)
105,26€ pers./noche (aprox),Ochagavía/Otsagabia,"2 - 
  6 personas",1 dormitorio,4 camas
106,20€ pers./noche (aprox),Aldatz,"6 - 
  11 personas",4 dormitorios,9 camas
107,25€ pers./noche (aprox),Genevilla,"6 - 
  8 personas",3 dormitorios,7 camas
108,21€ pers./noche (aprox),Eltso,14 personas,6 dormitorios,12 camas
109,21€ pers./noche (aprox),Cintruénigo,Íntegro o habitaciones,"2 - 
  10 personas",4 dormitorios
110,22€ pers./noche (aprox),Arantza,"2 - 
  4 personas",2 dormitorios,3 camas
111,22€ pers./noche (aprox),Jaurrieta,"2 - 
  6 personas",5 camas,22€ pers./noche (aprox)
112,16€ pers./noche (aprox),Ochagavía/Otsagabia,"9 - 
  10 personas",5 dormitorios,10 camas
113,30€ pers./noche (aprox),Orísoain,4 personas,2 dormitorios,2 camas
114,20€ pers./noche (aprox),Larraintzar,12 personas,5 dormitorios,10 camas
115,30€ pers./noche (aprox),Abaurrepea/Abaurrea Baja,"2 - 
  8 personas",3 dormitorios,6 camas
116,23€ pers./noche (aprox),Olite,"2 - 
  13 personas",4 dormitorios,10 camas
117,42€ pers./noche (aprox),Muniáin de Guesálaz,"1 - 
  12 personas",8 dormitorios,8 camas
118,19€ pers./noche (aprox),Orbaizeta,"4 - 
  8 personas",4 dormitorios,11 camas
119,22€ pers./noche (aprox),Aranaratxe/Aranarache,"8 - 
  10 personas",4 dormitorios,8 camas
120,25€ pers./noche (aprox),Lekaroz,8 personas,4 dormitorios,7 camas
121,30€ pers./noche (aprox),Añorbe,"12 - 
  14 personas",6 dormitorios,11 camas
122,17€ pers./noche (aprox),Marcilla,"12 - 
  20 personas",4 dormitorios,10 camas
123,20€ pers./noche (aprox),Hiriberri/Villanueva,"1 - 
  12 personas",5 dormitorios,9 camas
124,21€ pers./noche (aprox),Erratzu,Íntegro o habitaciones,8 personas,4 camas
125,17€ pers./noche (aprox),Satrustegi,"6 - 
  10 personas",4 dormitorios,8 camas
126,25€ pers./noche (aprox),Allo,"8 - 
  14 personas",8 dormitorios,13 camas
127,25€ pers./noche (aprox),Eltzaburu,"10 - 
  30 personas",13 dormitorios,25 camas
128,35€ pers./noche (aprox),Aizoáin,"2 - 
  12 personas",6 dormitorios,11 camas
129,24€ pers./noche (aprox),Betelu,"12 - 
  14 personas",6 dormitorios,9 camas
130,18€ pers./noche (aprox),Rada,"1 - 
  5 personas",3 dormitorios,3 camas
131,18€ pers./noche (aprox),Sunbilla,10 personas,4 dormitorios,8 camas
132,28€ pers./noche (aprox),Lizaso,"1 - 
  18 personas",8 dormitorios,12 camas
133,22€ pers./noche (aprox),Goldaratz,"1 - 
  16 personas",7 dormitorios,11 camas
134,27€ pers./noche (aprox),Baquedano,Íntegro o habitaciones,"2 - 
  9 personas",5 dormitorios
135,16€ pers./noche (aprox),Ciáurriz,"6 - 
  8 personas",3 dormitorios,7 camas
136,16€ pers./noche (aprox),Etxalar,8 personas,4 dormitorios,5 camas
137,24€ pers./noche (aprox),Zurucuáin/Zurukuain,"2 - 
  12 personas",12 camas,24€ pers./noche (aprox)
138,26€ pers./noche (aprox),Arraitz-Orkin,"14 - 
  16 personas",7 dormitorios,13 camas
139,26€ pers./noche (aprox),Sangüesa/Zangoza,"6 - 
  8 personas",4 dormitorios,5 camas
140,27€ pers./noche (aprox),Aranguren,"2 - 
  6 personas",3 dormitorios,7 camas
141,20€ pers./noche (aprox),Iraizotz,"5 - 
  6 personas",3 dormitorios,5 camas
142,31€ pers./noche (aprox),Isaba/Izaba,18 personas,9 dormitorios,17 camas
143,27€ pers./noche (aprox),Altsasu/Alsasua,"2 - 
  15 personas",13 camas,27€ pers./noche (aprox)
144,19€ pers./noche (aprox),Etxalar,"4 - 
  6 personas",3 dormitorios,4 camas
145,28€ pers./noche (aprox),Jaurrieta,"8 - 
  10 personas",4 dormitorios,9 camas
146,25€ pers./noche (aprox),Azcona/Aizkoa,"1 - 
  9 personas",4 dormitorios,5 camas
147,43€ pers./noche (aprox),Amaiur/Maya,"2 - 
  10 personas",5 dormitorios,7 camas
148,27€ pers./noche (aprox),Arrarats,Íntegro o habitaciones,"2 - 
  12 personas",5 dormitorios
149,21€ pers./noche (aprox),Cabanillas,11 personas,5 dormitorios,10 camas
150,17€ pers./noche (aprox),Cáseda,6 personas,3 dormitorios,4 camas
151,13€ pers./noche (aprox),Lekunberri,"2 - 
  21 personas",17 camas,13€ pers./noche (aprox)
152,17€ pers./noche (aprox),Amillano,"2 - 
  12 personas",5 dormitorios,11 camas
153,29€ pers./noche (aprox),Eugi,"2 - 
  46 personas",18 dormitorios,46 camas
154,21€ pers./noche (aprox),Aldatz,10 personas,4 dormitorios,7 camas
155,17€ pers./noche (aprox),Etxauri,"5 - 
  6 personas",3 dormitorios,5 camas
156,29€ pers./noche (aprox),Isaba/Izaba,"1 - 
  16 personas",8 dormitorios,16 camas
157,27€ pers./noche (aprox),Erratzu,18 personas,9 dormitorios,11 camas
158,8€ pers./noche (aprox),Irurita,6 personas,5 camas,8€ pers./noche (aprox)
159,23€ pers./noche (aprox),Jaurrieta,Íntegro o habitaciones,"2 - 
  6 personas",3 dormitorios
160,38€ pers./noche (aprox),Garínoain,"2 - 
  12 personas",4 dormitorios,7 camas
161,53€ pers./noche (aprox),Villanueva de Arce/Hiriberri-Artzibar,Íntegro o habitaciones,"1 - 
  21 personas",6 dormitorios
162,21€ pers./noche (aprox),Liédena,"2 - 
  6 personas",3 dormitorios,4 camas
163,19€ pers./noche (aprox),Miranda de Arga,"2 - 
  7 personas",3 dormitorios,5 camas
164,21€ pers./noche (aprox),Etxalar,"2 - 
  4 personas",3 dormitorios,3 camas
165,22€ pers./noche (aprox),Arantza,8 personas,5 dormitorios,7 camas
166,20€ pers./noche (aprox),Eraul,"6 - 
  9 personas",3 dormitorios,9 camas
167,13€ pers./noche (aprox),Castejón,"2 - 
  9 personas",3 dormitorios,9 camas
168,40€ pers./noche (aprox),Obanos,"2 - 
  9 personas",3 dormitorios,7 camas
169,16€ pers./noche (aprox),Etxalar,"1 - 
  12 personas",5 dormitorios,10 camas
170,27€ pers./noche (aprox),Aurizberri/Espinal,"1 - 
  19 personas",8 dormitorios,18 camas
171,25€ pers./noche (aprox),Salinas de Ibargoiti,"10 - 
  37 personas",16 dormitorios,34 camas
